,QUESTION,DIFF,WEIGHT,TYPE ,CORRECT,OPTION1,OPTION2,OPTION3,OPTION4
394,"To maintain precision, how large numeric values should be read in JSON?",Medium,,Evaluation-Android,a. as string,a. as string,b.as array,c.as structure,d.as ponter
395,How many JSON streams a JSON reader should read?,Medium,,Evaluation-Android,b.single JSON stream,a.double stream,b.single JSON stream,c.mixed data stream,d.null stream
396,JSON reader is __. Fill the gap,Easy,,Evaluation-Android,c.not threadsafe,a.thread vulnurable,b. thread safe,c.not threadsafe,d.risky
397,Which one helps us to perform background tasks without altering threads?,Medium,,Evaluation-Android,d.AsyncTask,a.resyncTask,b.threadTask,c.syncTask,d.AsyncTask
398,Which method is invoked on Uithread before any task is executed?,Medium,,Evaluation-Android,a.onPreExecute(),a.onPreExecute(),b.onExecute(),c.onReExecute(),d.onPriExecute()
399,How many kinds of parameters are there for Async Task?,Medium,,Evaluation-Android,b.3,a.2,b.3,c.4,d.5
400,"What is the ""Params"" parameter type of Async Task?",Medium,,Evaluation-Android,c.string,a.array,b.integer,c.string,d.structure
401,"What is the ""Progress"" parameter type of Async Task?",Medium,,Evaluation-Android,d.void,a.array,b.integer,c.string,d.void
402,"What is the ""Result"" parameter type of Async Task?",Medium,,Evaluation-Android,a.Bitmap,a.Bitmap,b.HashMap,c.String,d.Void
403,Which method downloads content in Async Task?,Easy,,Evaluation-Android,c.doInBackground(),a.onProgressUpdate(),b.publishProgress(),c.doInBackground(),d.Progress()
404,Which method updates the percent progress in Async Task?,Hard,,Evaluation-Android,a.onProgressUpdate(),a.onProgressUpdate(),b.publishProgress(),c.doInBackground(),d.Progress()
405,Which method computes the total number of bytes in Async Task?,Easy,,Evaluation-Android,c.doInBackground(),a.onProgressUpdate(),b.publishProgress(),c.doInBackground(),d.Progress()
406,Who is responsible for handling messages and runables?,Medium,,Evaluation-Android,b.handler,a.thread,b.handler,c.compiler,d.operating system
407,"What the ""@Path"" annotation in retrofit denotes for?",Medium,,Evaluation-Android,a.variable substitution for the API endpoint,a.variable substitution for the API endpoint,b.variable path for the API endpoint,c.variable for the API endpoint,d.path substitution for the API endpoint
408,"What the ""@Query"" annotation in retrofit denotes for?",Medium,,Evaluation-Android,a.specifies the query key name,a.specifies the query key name,b.specifies the query name,c.specifies the key name,d.specifies the  name
409,"What the ""@Body"" annotation in retrofit denotes for?",Medium,,Evaluation-Android,c.payload for the POST call,a.payload for  call,b.payload for the GET call,c.payload for the POST call,d.payload for the POST 
410,Headers can be added to a request using an Interceptor,Medium,,Evaluation-Android,d.Interceptor,a.Inceptor,b.Interruptor,c.Interpretor,d.Interceptor
411,Which of the following is not an extra field in android email?,Medium,,Evaluation-Android,d.EXTRA_BODY,a.EXTRA_TITLE,b.EXTRA_TEXT,c.EXTRA_SUBJECT,d.EXTRA_BODY
412,What is SQLite?,Easy,1,Android,"c) It is an in-process which is a Zero configured, self-contained and serverless",a) It is an automatically integrated with cloud service,"
b) It is a temporary file and then replacing the current document
","c) It is an in-process which is a Zero configured, self-contained and serverless","d) It is a library that implements a lightweight embedded relational 
Database
"
413,What is the meaning of Self Contained?,Medium,1,Android,d) No external dependencies,a) Self Dependencies,b) External dependcies,c) Self motivation,d) No external dependencies
414,What is SQLite transaction?,Hard,1,Android,b) ACID compliant,a) UNIX process,b) ACID compliant,c) LINUX process,d) None .
415,SQLite is written in,Expert,1,Android,c) ANSI C,a) C++,b) JAVA,c) ANSI C,d) PHP
416,What does mean of DDL?,Hard,1,Android,d) Data Definition Language,a) Data Decline Language,b) Data Distribution Language,c) Data Transfer of Distributing Language,d) Data Definition Language
417,What is the command of DDL?,Medium,1,Android,b) ALTER,a)INSERT,b) ALTER,c) SELECT,d) None
418,What is SQLiteManager?,Easy,1,Android,a) a database manager for SQLite database,a) a database manager for SQLite database,b) a database manager for SQL ,c) It is control the all documents of database,d) No one.
419,What does the mean Of DQL?,Easy,1,Android,a)Data Query Language,a)Data Query Language,b) Data Qualification Language,c) Data Manipulate Language,d)none
420,What is the command for DQL?,Expert,1,Android,d) SELECT,a) UPDATE,b) DELETE,c) VIEW,d) SELECT
421,Which of the following command is “DROP”?,Hard,1,Android,b) DDL,a) DQL,b)DDL,c) DML,d)none
422,Which of the following meaning is DML?,Medium,1,Android,b) Data Manipulation Language ,a) Data Manipulate Language,b)Data Manipulation Language ,c) Data Device Manipulation Language,d) Data Magnification language.
423," <standard_prefix>://<authority>/<data_path>/<id>
What you will write in place of <standard_prefix>?
",Hard,1,Android,a) Content,a) Content,b) Object,c) ContentProvider,d) No one.
424," Choose the correct option according to the given option.
Statement 1: A content provider behaves very much like a database — you can query it, edit its content, as well as add or delete content.

Statement 2: Content providers let you centralize content in one place and have many different applications access it as needed.

Statement 3: A content provider does not provide the facility to centralize content.

",Hard,1,Android,c) Option 1and 2 is correct.,a) Option 1 is correct.,b) Option 2 is correct.,c) Option 1and 2 is correct.,d) Option 2 and 3 is correct.
425,Which of the following is the meaning of “CRUD”?,Expert,1,android,"b) create, retrieve, update, and delete","a) create, retrieve, update, and drop","b) create, retrieve, update, and delete","c) create, return, unite, and delete",d)none
426," If you want to share the data from one application to other applications, 
which of the following you will use?
",Easy,1,Android,c) Content Provider,a) SQLiteDatabases,b) Internal Storage,c) Content Provider,d) None of the above
427,To share data across packages in Android which one you will prefer?,Hard,1,Android,b) Content Provider,a) Shared Preference,b) Content Provider,c) Data provider,d) None of the above
428,Identifies data in a provider-,Medium,1,Android,c) Content URI,a) Content provider,b) Data Provider,c) Content URI,d) Shared Preference
429,Which of the following statement is True?,Easy,1,Android,c) a and b is true,a) TheContentResolver can then dispatch the query arguments to the correct provider.,b) The ContentProvider uses the path part of the content URI to choose the table to access.,c) a and b is true,d)none
430,For Creating your own content provider which class you will prefer?,Medium,1,Android,b) Content Provider,a) Content,"
b) Content Provider",c) Object,d) None of the above
431,How many frequency of Applet?,Medium,1,Android,b) 225,a) 220,b) 225,c) 250,d) 255
432,What is the uses of cursor loader?,Medium,1,Android,d) A subclass of AsyncTask Loader for accessing ContentProvider Data,a) A callback interface you must implement,b) The base class for all loaders,c) An implementation that uses an AsyncTask to do its work,d) A subclass of AsyncTask Loader for accessing ContentProvider Data
433,What is/are storage option available in android?,Expert,1,Android,d) All of the above,a) SharedPreference,b) SQLiteDatabase,c) ContentProvider,d) All of the above
434,What is Loader?,Hard,1,Android,a) Loading data a content provider or other data source for display in an FragmentActivity or Fragment,a) Loading data a content provider or other data source for display in an FragmentActivity or Fragment,b) Changing and encapsulating a value,c) Converting a group of related object that can be stored and transferred,d) None of the above
435,Why does loader run on separate thread?,Easy,1,Android,b) To prevent janky or unresponsive UI,a) To prevent from a dangerous software,b) To prevent janky or unresponsive UI,c) Option b is false,d) Option a is true
436,How does the Loaders simplify a thread management?,Hard,1,Android,b) By providing callback methods when event occur,a) By providing receiver methods when event occur,b) By providing callback methods when event occur,c) By providing calling process when event occur,d) All of the above
437,What does we do to prevent duplicate queries?,hard,1,Android,b) Loaders persist to prevent janky or unresponsive UI,a) Loaders persist a callback method,b) Loaders persist to prevent janky or unresponsive UI,c) Loaders persist and cache result across configuration changes,d) Which of the following
438,Which of the following statement is true?,Expert,1,Android,a) Loading data a content provider or other data source for display in an FragmentActivity or Fragment,a) Loading data a content provider or other data source for display in an FragmentActivity or Fragment,b) Loaders can implement an observer to mon,c) Option 1 is false,b) Option 2 is false
439,Characteristics of the Loaders?,Easy,1,Android,d) All of the above,a) They are available to every Activity and Fragment,b) They provide asynchronous loading of data,c) They monitor the source of their data and deliver new result when the content changes,d) All of the above
440,What is cloud storage?,easy,1,Android,"a) A powerful, simple and cost-effective object storage service built for Google scale.","a) A powerful, simple and cost-effective object storage service built for Google scale.",b) It is a monitor which is the source of their data and deliver the content changes,c) Provides a useful storage buffer which that contains of a file may be read and write,d) None of the mentioned
441,What touse Google security to file uploads and downloads for your Firebase apps?,Medium,1,Android,b)  Firebase SDKs ,a) Security key,b)  Firebase SDKs ,c) Software ,d) a and b
442,"What will you use to store images, audio, video, or other user-generated content?",Medium,1,Android,a) SDK,a) SDK,b) Storage device,c) Local storage,d) All of the above
443,What will use to access the same files on the server?,Midium,1,Android,b) Google cloud storage,a) Local storage,b) Google cloud storage,c) Sandbox,d) Local Driver
444,What is SDK?,Easy,1,Android,c) Software Development kit,a) Software Development key,b) Software Development kitten,c) Software Development kit,d) Software Development ket
445,The Firebase Real-time database is a-,Hard,1,android,c) Cloud hosted database,a) SDK,b) Cloud storage,c) Cloud hosted database,d) b and c
446,What is Fairbase Real-time database?,Easy,1,Android,c) Is synced across all clients in realtime and remains available when your app goes offline,"a) A powerful , simple and cost –effective object storage service built for Google scale
b) A content provider or other data source for ","b) A content provider or other data source for display in an Fragment Activity or fragment
c) Is synced across all clients in realtime and ",c) Is synced across all clients in realtime and remains available when your app goes offline,d) Is synced across all clients in realtime and remains available when your app goes offline and online
447,How we can store firebase?,Expert,1,Android,d) JSON,a) DDL,b) SSD,c) SDK,d) JSON
448,The Realtime Database provides ,Medium,1,Android,a) Flexible,a) Flexible,b) Hard,c) Simple,d) None
449,The Realtime Database example is,Easy,1,Android,c) NoSQL,a) Dynamic database,b) MySql,c) NoSQL,d) Oracle
450,“JSON” stands for ,Expert,1,Android,a) JavaScript Object Notation,a) JavaScript Object Notation,b) JavaScript Oriented Notation,c) Option 1 is false,d) a and b is true
